R ,64 ,C ,64 ,N ,280 ,D ,12,Rate ,1.000121,T ,3.160000 ,
R ,64 ,C ,64 ,N ,280 ,D ,14,Rate ,1.000365,T ,3.586000 ,
R ,64 ,C ,64 ,N ,280 ,D ,16,Rate ,1.000061,T ,4.483000 ,
R ,64 ,C ,64 ,N ,280 ,D ,18,Rate ,1.000546,T ,4.760000 ,
R ,64 ,C ,64 ,N ,280 ,D ,20,Rate ,1.000424,T ,5.627000 ,
R ,64 ,C ,64 ,N ,280 ,D ,25,Rate ,1.000546,T ,10.399000 ,
R ,64 ,C ,64 ,N ,280 ,D ,30,Rate ,1.002117,T ,21.108000 ,
R ,64 ,C ,64 ,N ,300 ,D ,1,Rate ,1.000113,T ,1.829000 ,
R ,64 ,C ,64 ,N ,300 ,D ,2,Rate ,1.000057,T ,1.848000 ,
R ,64 ,C ,64 ,N ,300 ,D ,3,Rate ,1.000170,T ,1.970000 ,
R ,64 ,C ,64 ,N ,300 ,D ,4,Rate ,1.000340,T ,2.150000 ,
R ,64 ,C ,64 ,N ,300 ,D ,5,Rate ,1.000226,T ,2.262000 ,
R ,64 ,C ,64 ,N ,300 ,D ,6,Rate ,1.000000,T ,2.473000 ,
R ,64 ,C ,64 ,N ,300 ,D ,8,Rate ,1.000113,T ,2.576000 ,
R ,64 ,C ,64 ,N ,300 ,D ,10,Rate ,1.000227,T ,3.440000 ,
R ,64 ,C ,64 ,N ,300 ,D ,12,Rate ,1.000283,T ,3.634000 ,
R ,64 ,C ,64 ,N ,300 ,D ,14,Rate ,1.000396,T ,4.168000 ,
R ,64 ,C ,64 ,N ,300 ,D ,16,Rate ,1.000395,T ,4.754000 ,
R ,64 ,C ,64 ,N ,300 ,D ,18,Rate ,1.000396,T ,5.488000 ,
